Name,Category,Neighborhood,Address,Link,Google Maps,From Conference Center,Why it is good,Dietary notes,Tips,Latitude,Longitude
Kobe International Conference Center,Conference Venue,Port Island,"6-9-1 Minatojima-nakamachi, Chuo-ku, Kobe-shi, Hyogo 650-0046, Japan",https://www.kobe-cc.jp,https://maps.google.com/maps?q=6-9-1+Minatojima-nakamachi%2C+Chuo-ku%2C+Kobe-shi%2C+Hyogo+650-0046%2C+Japan,Conference venue,W3C TPAC 2025 conference location,Conference catering available,Main venue for all TPAC sessions,34.6584,135.2233
Kobe Portopia Hotel,Hotel,Port Island,"6-10-1 Minatojima-nakamachi, Chuo Ward, Kobe, Hyogo 650-0046, Japan",https://www.portopia.co.jp,,~2 min walk,Official TPAC 2025 hotel with premium amenities and conference facilities,Multiple restaurants with various dietary options,Connected to conference center - premium conference hotel,34.6580,135.2210
Ariston Hotel,Hotel,Port Island,"6 Chome-1 Minatojima Nakamachi, Chuo Ward, Kobe, Hyogo 650-0046, Japan",,,~5 min walk,Official TPAC 2025 hotel option in Port Island,Hotel restaurant and room service available,Close to conference venue,34.6575,135.2240
Centurion Hotel & Spa Vintage Kobe,Hotel,Port Island,"1 Chome-1-6 Minatojima, Chuo Ward, Kobe, Hyogo 650-0045, Japan",,,~8 min walk,Official TPAC 2025 hotel with spa facilities,Hotel dining options available,Spa facilities for conference relaxation,34.6570,135.2200
Soutetsu Fresa Inn Kobe-Sannomiya,Hotel,Sannomiya,"5 Chome-2-3 Asahidori, Chuo Ward, Kobe, Hyogo 651-0095, Japan",,,~15 min via Port Liner,Official TPAC 2025 hotel in central Sannomiya district,Breakfast available - near many restaurants,Central location with easy transport to venue,34.6930,135.1960
Kobe Luminous Hotel Sannomiya,Hotel,Sannomiya,"92 Edomachi, Chuo Ward, Kobe, Hyogo 650-0033, Japan",,,~15 min via Port Liner,Official TPAC 2025 hotel in downtown Kobe,Hotel amenities and nearby dining,Downtown location with shopping and dining,34.6920,135.1940
Hotel SUI Kobe Sannomiya by ABEST,Hotel,Nakayamate,"2 Chome-1-20 Nakayamatedori, Chuo Ward, Kobe, Hyogo 650-0004, Japan",,,~12 min taxi or 45 min walk,Official TPAC 2025 hotel in historic foreign district,Hotel restaurant and room service,Located in atmospheric Nakayamate district,34.7000,135.1920
Hotel Monterey Kobe,Hotel,Central Kobe,"2 Chome-11-13 Shimoyamatedori, Chuo Ward, Kobe, Hyogo 650-0011, Japan",,,~8 min taxi or 30 min walk,Official TPAC 2025 hotel with classic European style,Hotel dining and bar facilities,Classic hotel with traditional service,34.6930,135.1935
Bifteck Kawamura Sannomiya,Kobe Beef,Sannomiya,"4 Chome-5-13 Kanocho, Chuo Ward, Kobe, Hyogo 650-0001, Japan",https://www.bifteck.co.jp/restaurant/sannomiya-main/,https://maps.google.com/maps?q=4+Chome-5-13+Kanocho%2C+Chuo+Ward%2C+Kobe%2C+Hyogo+650-0001%2C+Japan,~8 min taxi or 35 min walk,World's finest Kobe beef restaurant - Chef Kawamura personally selects each A5 grade cut,Limited vegetarian options - primarily beef focused,Reservations essential weeks in advance - budget ¥20000-30000+ per person,34.6937,135.1955
Steak Misono,Kobe Beef,Sannomiya,"1-1-2 Shimoname-dori, Chuo-ku, Kobe-shi, Hyogo 650-0011, Japan",https://www.misono.org,https://maps.google.com/maps?q=1-1-2+Shimoname-dori%2C+Chuo-ku%2C+Kobe-shi%2C+Hyogo+650-0011%2C+Japan,~15 min via Port Liner,Birthplace of teppanyaki - authentic Kobe beef with historic atmosphere and show cooking,Good seafood and vegetarian options available,Budget ¥8000-15000 per person - lunch sets offer better value than dinner,34.6925,135.1933
Mouriya Honten,Kobe Beef,Sannomiya,"2-1-17 Shimoname-dori, Chuo-ku, Kobe-shi, Hyogo 650-0011, Japan",,https://maps.google.com/maps?q=2-1-17+Shimoname-dori%2C+Chuo-ku%2C+Kobe-shi%2C+Hyogo+650-0011%2C+Japan,~15 min via Port Liner,Historic steakhouse since 1885 - pioneers of Kobe beef with traditional atmosphere,Excellent seafood options and vegetarian dishes available,Lunch sets excellent value ¥3000-8000 vs dinner ¥10000+ - try the sirloin,34.6926,135.1931
