Name,Category,Neighborhood,Address,Link,Google Maps,From Conference Center,Why it is good,Dietary notes,Tips,Latitude,Longitude
Kobe International Conference Center,Conference Venue,Port Island,"6-9-1 Minatojima-nakamachi, Chuo-ku, Kobe-shi, Hyogo 650-0046, Japan",https://www.kobe-cc.jp,https://maps.google.com/maps?q=6-9-1+Minatojima-nakamachi%2C+Chuo-ku%2C+Kobe-shi%2C+Hyogo+650-0046%2C+Japan,Conference venue,W3C TPAC 2025 conference location,Conference catering available,Main venue for all TPAC sessions,34.6584,135.2233
Kawamura,Kobe Beef,Sannomiya,"2-1-21 Kitanagasadori, Chuo-ku, Kobe-shi, Hyogo 650-0002, Japan",,https://maps.google.com/maps?q=2-1-21+Kitanagasadori%2C+Chuo-ku%2C+Kobe-shi%2C+Hyogo+650-0002%2C+Japan,~15 min via Port Liner,World's finest Kobe beef restaurant - Chef Kawamura personally selects each cut of A5 grade beef,Limited vegetarian options - primarily beef focused,Reservations essential weeks in advance - budget ¥20000-30000+ per person,34.6937,135.1955
Steak Misono,Kobe Beef,Sannomiya,"1-1-2 Shimoname-dori, Chuo-ku, Kobe-shi, Hyogo 650-0011, Japan",https://www.misono.org,https://maps.google.com/maps?q=1-1-2+Shimoname-dori%2C+Chuo-ku%2C+Kobe-shi%2C+Hyogo+650-0011%2C+Japan,~15 min via Port Liner,Birthplace of teppanyaki - authentic Kobe beef with historic atmosphere and show cooking,Good seafood and vegetarian options available,Budget ¥8000-15000 per person - lunch sets offer better value than dinner,34.6925,135.1933
Mouriya Honten,Kobe Beef,Sannomiya,"2-1-17 Shimoname-dori, Chuo-ku, Kobe-shi, Hyogo 650-0011, Japan",,https://maps.google.com/maps?q=2-1-17+Shimoname-dori%2C+Chuo-ku%2C+Kobe-shi%2C+Hyogo+650-0011%2C+Japan,~15 min via Port Liner,Historic steakhouse since 1885 - pioneers of Kobe beef with traditional atmosphere,Excellent seafood options and vegetarian dishes available,Lunch sets excellent value ¥3000-8000 vs dinner ¥10000+ - try the sirloin,34.6926,135.1931
Ganko Ramen,Ramen,Sannomiya,"Sannomiya Center Gai, Chuo-ku, Kobe-shi, Hyogo, Japan",,https://maps.google.com/maps?q=Ganko+Ramen+Sannomiya+Kobe,~15 min via Port Liner,Authentic tonkotsu ramen with 12+ hour slow-cooked broth - perfect comfort food,Some vegetarian broth options and chicken-based ramen available,Quick service perfect for conference breaks - order at vending machine with pictures,34.6937,135.1955
Sake Bar Yamashina,Sake Bar,Sannomiya,"Sannomiya area, Chuo-ku, Kobe-shi, Hyogo, Japan",,https://maps.google.com/maps?q=Sake+Bar+Sannomiya+Kobe,~15 min via Port Liner,Local Nada district sake with expert guidance - perfect for networking and cultural immersion,Traditional izakaya dishes complement sake perfectly,Start early before 20:00 - let staff guide sake selection - pour for others not yourself,34.6943,135.1960
Kobe Port Tower,Attraction,Meriken Park,"5-5 Hatobacho, Chuo-ku, Kobe-shi, Hyogo 650-0042, Japan",https://www.kobe-port-tower.com,https://maps.google.com/maps?q=5-5+Hatobacho%2C+Chuo-ku%2C+Kobe-shi%2C+Hyogo+650-0042%2C+Japan,~5 min walk,Iconic red tower with 360-degree harbor views - perfect conference break spot,Cafe and restaurant options available at base,Open 9:00-21:00 - ¥700 admission - less crowded in morning,34.6822,135.1879
Meriken Park,Park,Port Island,"Hatobacho, Chuo-ku, Kobe-shi, Hyogo 650-0042, Japan",,https://maps.google.com/maps?q=Meriken+Park+Kobe,~8 min walk,Beautiful waterfront park perfect for morning jogs walking meetings and evening decompression,Convenience stores and restaurants nearby,Free and open 24/7 - best times early morning or evening - can be windy near harbor,34.6828,135.1885
Sannomiya District,District,Central Kobe,"Sannomiya Station area, Chuo-ku, Kobe-shi, Hyogo",,https://maps.google.com/maps?q=Sannomiya+Station+Kobe,13 min via Port Liner,Main commercial hub with dining and shopping - highest concentration of restaurants and bars,Every type of cuisine available from street food to fine dining,Get Port Liner day pass - peak dinner 19:00-21:00 so go earlier or later,34.6937,135.1955
Kitano Foreign District,Historic Attraction,Kitano,"Kitano-cho, Chuo-ku, Kobe-shi, Hyogo",,https://maps.google.com/maps?q=Kitano+Foreign+District+Kobe,~20 min via Port Liner + walk,Historic Western-style houses from 1800s with stunning harbor views,Cafes and restaurants throughout district,Perfect afternoon conference break - comfortable shoes for hillside walking,34.7020,135.1928
Starbucks Reserve Kobe,Coffee Shop,Meriken Park,"2-2 Higashikawasakicho 1-chome, Chuo-ku, Kobe-shi, Hyogo 650-0044, Japan",,https://maps.google.com/maps?q=2-2+Higashikawasakicho+1-chome%2C+Chuo-ku%2C+Kobe-shi%2C+Hyogo+650-0044%2C+Japan,~10 min walk,Premium Starbucks Reserve with coffee roasting theater and harbor views,Premium pastries and light meals available,Peak times 11:00-14:00 - outdoor seating has best harbor views,34.6820,135.1883
